acquisition_seed,training_seed,strategy,round,labeled_budget,development_eval_size,yaml_path,map50,map5095,precision,recall,train_status,train_run_dir,error,actual_trained_epochs,final_epoch,best_epoch_map50,best_results_map50,last_results_map50,best_epoch_map5095,best_results_map5095,last_results_map5095,retry_count
43,1043,GTFreeDatasetBalancedVisualDiversity,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\__SHARED_ROUND0__\round_0\data.yaml,0.166965,0.076763,0.604128,0.218184,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43___SHARED_ROUND0___R0_trainseed1043,,100,100,98,0.1673,0.1673,98,0.07702,0.07702,0
43,1043,GTFreeDatasetBalancedVisualDiversity,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedVisualDiversity\round_1\data.yaml,0.320734,0.1401,0.310146,0.45333,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedVisualDiversity_R1_trainseed1043,,100,100,84,0.32191,0.28231,84,0.13771,0.12162,0
43,1043,GTFreeDatasetBalancedVisualDiversity,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedVisualDiversity\round_2\data.yaml,0.332188,0.150938,0.392856,0.371224,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedVisualDiversity_R2_trainseed1043,,100,100,71,0.34157,0.31814,69,0.15167,0.13866,0
43,1043,GTFreeDatasetBalancedVisualDiversity,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedVisualDiversity\round_3\data.yaml,0.384083,0.173396,0.524232,0.34386,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedVisualDiversity_R3_trainseed1043,,100,100,85,0.38821,0.36899,93,0.17372,0.16662,0
43,1043,GTFreeDatasetBalancedVisualDiversity,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeDatasetBalancedVisualDiversity\round_4\data.yaml,0.397667,0.162473,0.405228,0.417337,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeDatasetBalancedVisualDiversity_R4_trainseed1043,,100,100,99,0.40247,0.3983,100,0.16287,0.16287,0
43,1043,GTFreeRandom,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\__SHARED_ROUND0__\round_0\data.yaml,0.166965,0.076763,0.604128,0.218184,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43___SHARED_ROUND0___R0_trainseed1043,,100,100,98,0.1673,0.1673,98,0.07702,0.07702,0
43,1043,GTFreeRandom,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeRandom\round_1\data.yaml,0.22263,0.101897,0.668454,0.301716,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeRandom_R1_trainseed1043,,100,100,76,0.26791,0.22362,97,0.10316,0.10284,0
43,1043,GTFreeRandom,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeRandom\round_2\data.yaml,0.311,0.148425,0.661859,0.284338,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeRandom_R2_trainseed1043,,100,100,87,0.3107,0.28819,87,0.14808,0.13614,0
43,1043,GTFreeRandom,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeRandom\round_3\data.yaml,0.369896,0.158172,0.596361,0.398082,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeRandom_R3_trainseed1043,,100,100,87,0.38236,0.35493,83,0.15854,0.14716,0
43,1043,GTFreeRandom,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_43\GTFreeRandom\round_4\data.yaml,0.391134,0.170621,0.515955,0.338479,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed43_GTFreeRandom_R4_trainseed1043,,100,100,92,0.40048,0.38889,99,0.17094,0.17069,0
