acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,rolled-in_scale_205.jpg,53d148ae53159cfa698a7294a57b1a2d8c5556f3e1d28dbebb49fbdff49964fd,2,0.43153661489486694,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,3,0.35222506523132324,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,patches_162.jpg,5c9a4ea4b87f292bd33dc675d1e6b20eb25141e16b088e6209e22615df86a981,4,0.4219478368759155,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,crazing_231.jpg,cdbe260c5627aae3eac748c1fa4c40a6d0d260192b55c0eb93912da838089f7b,5,0.4128608703613281,15
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_05_4405228100_00452.jpg,01f3a7aac37da1e51d63d7e6f4105ed96ea6f31d353f7923adec4e6226b45c9f,1,0.48638296127319336,20
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_06_430103100_01149.jpg,1e895317eed92d24e2c8b4017552dbb8b07595bec95be93684a987f332165e41,2,0.478629469871521,20
43,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,pitted_surface_200.jpg,638ec352794dc5f4efbd4c151c78d01e384b2946aeb6b48c4393d4780eface2c,3,0.33442866802215576,20
43,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,4,0.3318871855735779,20
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_04_4402766700_00007.jpg,e298d10b8ccaacace08f1b05989005d970d13de3e8a57f2bd77a08661b68faf8,5,0.5049266815185547,20
43,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_01_4403690400_00005.jpg,0655c6df1f9c029a47e7358bf07908da74a3fd2464aa167aa14b33386fe9ad8a,1,0.46399450302124023,25
43,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_01_4402117200_00003.jpg,34b38bf2c6dcd0949c9841e3d6e7c27161e53c973bd3fab66dd139bc62163391,2,0.396024227142334,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_39.jpg,5ea54ad8be039dcc2f55ce5d2f429b985800d1de5a95030f46ee4c229b048091,3,0.30627357959747314,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,rolled-in_scale_239.jpg,8e311a7b62d3ea8defe3a13129f6d1e903612173eb37216769c03ce8532d3722,4,0.3097384572029114,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,5,0.2992899417877197,25
