source_strategy,num_images,total_bbox_instances,mean_bbox_per_image,median_bbox_per_image,multi_object_image_ratio,num_actual_classes,actual_class_entropy,actual_class_distribution,bbox_area_mean,bbox_area_std,small_bbox_ratio,medium_bbox_ratio,large_bbox_ratio,dataset_distribution,acquisition_seed,strategy,round,labeled_budget
GTFreeDatasetBalancedVisualDiversity,35,65,1.8571428571428572,2.0,0.5714285714285714,10,2.873487385703821,"{""crazing"": 9, ""crease"": 20, ""inclusion"": 3, ""patches"": 7, ""pitted_surface"": 7, ""rolled-in_scale"": 7, ""rolled_pit"": 2, ""scratches"": 8, ""silk_spot"": 1, ""waist_folding"": 1}",0.1654704912860577,0.1914107750137542,0.06153846153846154,0.4,0.5384615384615384,"{""GC10-DET"": 18, ""NEU-DET"": 17}",45,GTFreeDatasetBalancedVisualDiversity,4,35
GTFreeRandom,15,32,2.1333333333333333,2.0,0.8666666666666667,7,2.4549395501179974,"{""crazing"": 9, ""crease"": 7, ""inclusion"": 1, ""patches"": 2, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.18322442932128907,0.15174638318812905,0.03125,0.28125,0.6875,"{""GC10-DET"": 4, ""NEU-DET"": 11}",45,GTFreeRandom,0,15
GTFreeRandom,20,41,2.05,2.0,0.8,7,2.4717038349887748,"{""crazing"": 9, ""crease"": 12, ""inclusion"": 1, ""patches"": 5, ""pitted_surface"": 6, ""rolled-in_scale"": 7, ""silk_spot"": 1}",0.18369529820884145,0.18320023783542566,0.024390243902439025,0.36585365853658536,0.6097560975609756,"{""GC10-DET"": 7, ""NEU-DET"": 13}",45,GTFreeRandom,1,20
GTFreeRandom,25,51,2.04,2.0,0.76,9,2.7152517965558283,"{""crazing"": 9, ""crease"": 13, ""inclusion"": 1, ""patches"": 9, ""pitted_surface"": 8, ""rolled-in_scale"": 7, ""rolled_pit"": 1, ""scratches"": 2, ""silk_spot"": 1}",0.17300092294730396,0.17074327698890404,0.0196078431372549,0.35294117647058826,0.6274509803921569,"{""GC10-DET"": 9, ""NEU-DET"": 16}",45,GTFreeRandom,2,25
GTFreeRandom,30,56,1.8666666666666667,2.0,0.6333333333333333,9,2.6515276400111505,"{""crazing"": 9, ""crease"": 17, ""inclusion"": 1, ""patches"": 9, ""pitted_surface"": 9, ""rolled-in_scale"": 7, ""rolled_pit"": 1, ""scratches"": 2, ""silk_spot"": 1}",0.1803081490652902,0.17927621240451616,0.017857142857142856,0.3392857142857143,0.6428571428571429,"{""GC10-DET"": 13, ""NEU-DET"": 17}",45,GTFreeRandom,3,30
GTFreeRandom,35,62,1.7714285714285714,2.0,0.5714285714285714,9,2.682778200590886,"{""crazing"": 9, ""crease"": 19, ""inclusion"": 1, ""patches"": 9, ""pitted_surface"": 9, ""rolled-in_scale"": 9, ""rolled_pit"": 1, ""scratches"": 4, ""silk_spot"": 1}",0.17231065713205646,0.17286472610519094,0.03225806451612903,0.3225806451612903,0.6451612903225806,"{""GC10-DET"": 15, ""NEU-DET"": 20}",45,GTFreeRandom,4,35
GTFreeDatasetBalancedConsistency,15,36,2.4,2.0,0.6666666666666666,6,2.0084378478832816,"{""crazing"": 3, ""crease"": 18, ""inclusion"": 8, ""patches"": 1, ""pitted_surface"": 4, ""scratches"": 2}",0.11336249186197916,0.1415347079289473,0.16666666666666666,0.4722222222222222,0.3611111111111111,"{""GC10-DET"": 8, ""NEU-DET"": 7}",46,GTFreeDatasetBalancedConsistency,0,15
GTFreeDatasetBalancedConsistency,20,45,2.25,2.0,0.6,6,2.1982308872504617,"{""crazing"": 3, ""crease"": 20, ""inclusion"": 8, ""patches"": 2, ""pitted_surface"": 6, ""scratches"": 6}",0.13547793836805555,0.1930661330030565,0.13333333333333333,0.4888888888888889,0.37777777777777777,"{""GC10-DET"": 10, ""NEU-DET"": 10}",46,GTFreeDatasetBalancedConsistency,1,20
GTFreeDatasetBalancedConsistency,25,54,2.16,2.0,0.6,7,2.37399074234331,"{""crazing"": 3, ""crease"": 24, ""inclusion"": 8, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 3, ""scratches"": 6}",0.1283818504050926,0.18109964256115366,0.1111111111111111,0.5370370370370371,0.35185185185185186,"{""GC10-DET"": 13, ""NEU-DET"": 12}",46,GTFreeDatasetBalancedConsistency,2,25
GTFreeDatasetBalancedConsistency,30,65,2.1666666666666665,2.0,0.6,7,2.4279891872710655,"{""crazing"": 5, ""crease"": 26, ""inclusion"": 9, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 3, ""scratches"": 12}",0.12420303635817306,0.17100467258185867,0.09230769230769231,0.5538461538461539,0.35384615384615387,"{""GC10-DET"": 15, ""NEU-DET"": 15}",46,GTFreeDatasetBalancedConsistency,3,30
GTFreeDatasetBalancedConsistency,35,75,2.142857142857143,2.0,0.6,7,2.4328641297102185,"{""crazing"": 7, ""crease"": 31, ""inclusion"": 9, ""patches"": 6, ""pitted_surface"": 7, ""rolled-in_scale"": 3, ""scratches"": 12}",0.13585511979166665,0.1853075401757402,0.09333333333333334,0.5333333333333333,0.37333333333333335,"{""GC10-DET"": 18, ""NEU-DET"": 17}",46,GTFreeDatasetBalancedConsistency,4,35
GTFreeDatasetBalancedVisualDiversity,15,36,2.4,2.0,0.6666666666666666,6,2.0084378478832816,"{""crazing"": 3, ""crease"": 18, ""inclusion"": 8, ""patches"": 1, ""pitted_surface"": 4, ""scratches"": 2}",0.11336249186197916,0.1415347079289473,0.16666666666666666,0.4722222222222222,0.3611111111111111,"{""GC10-DET"": 8, ""NEU-DET"": 7}",46,GTFreeDatasetBalancedVisualDiversity,0,15
GTFreeDatasetBalancedVisualDiversity,20,43,2.15,2.0,0.6,7,2.2936316290221526,"{""crazing"": 3, ""crease"": 20, ""inclusion"": 8, ""patches"": 3, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 3}",0.11202946947674418,0.13789412346749283,0.13953488372093023,0.4883720930232558,0.37209302325581395,"{""GC10-DET"": 10, ""NEU-DET"": 10}",46,GTFreeDatasetBalancedVisualDiversity,1,20
GTFreeDatasetBalancedVisualDiversity,25,52,2.08,2.0,0.56,7,2.314266160321495,"{""crazing"": 3, ""crease"": 23, ""inclusion"": 8, ""patches"": 3, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 9}",0.10541502591646636,0.12906983056091795,0.11538461538461539,0.5384615384615384,0.34615384615384615,"{""GC10-DET"": 13, ""NEU-DET"": 12}",46,GTFreeDatasetBalancedVisualDiversity,2,25
GTFreeDatasetBalancedVisualDiversity,30,61,2.033333333333333,1.5,0.5,7,2.312973629885528,"{""crazing"": 4, ""crease"": 25, ""inclusion"": 9, ""patches"": 3, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 14}",0.10072246413934427,0.12206093857810749,0.11475409836065574,0.5409836065573771,0.3442622950819672,"{""GC10-DET"": 15, ""NEU-DET"": 15}",46,GTFreeDatasetBalancedVisualDiversity,3,30
GTFreeDatasetBalancedVisualDiversity,35,73,2.085714285714286,2.0,0.5142857142857142,7,2.345322473065228,"{""crazing"": 6, ""crease"": 30, ""inclusion"": 12, ""patches"": 5, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 14}",0.0998409968964041,0.1212249493258505,0.1232876712328767,0.5205479452054794,0.3561643835616438,"{""GC10-DET"": 18, ""NEU-DET"": 17}",46,GTFreeDatasetBalancedVisualDiversity,4,35
GTFreeRandom,15,36,2.4,2.0,0.6666666666666666,6,2.0084378478832816,"{""crazing"": 3, ""crease"": 18, ""inclusion"": 8, ""patches"": 1, ""pitted_surface"": 4, ""scratches"": 2}",0.11336249186197916,0.1415347079289473,0.16666666666666666,0.4722222222222222,0.3611111111111111,"{""GC10-DET"": 8, ""NEU-DET"": 7}",46,GTFreeRandom,0,15
GTFreeRandom,20,48,2.4,2.0,0.65,7,2.192547656788187,"{""crazing"": 3, ""crease"": 23, ""inclusion"": 9, ""patches"": 1, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 6}",0.10053315836588539,0.13108955656786841,0.14583333333333334,0.5416666666666666,0.3125,"{""GC10-DET"": 11, ""NEU-DET"": 9}",46,GTFreeRandom,1,20
GTFreeRandom,25,54,2.16,2.0,0.56,7,2.199297083395149,"{""crazing"": 5, ""crease"": 26, ""inclusion"": 9, ""patches"": 1, ""pitted_surface"": 4, ""rolled-in_scale"": 2, ""scratches"": 7}",0.10173584346064812,0.1244564395525581,0.12962962962962962,0.5,0.37037037037037035,"{""GC10-DET"": 14, ""NEU-DET"": 11}",46,GTFreeRandom,2,25
GTFreeRandom,30,65,2.1666666666666665,2.0,0.6333333333333333,8,2.5233903141196157,"{""crazing"": 7, ""crease"": 27, ""inclusion"": 9, ""patches"": 4, ""pitted_surface"": 5, ""rolled-in_scale"": 5, ""scratches"": 7, ""silk_spot"": 1}",0.12620076472355768,0.16162908909111484,0.1076923076923077,0.47692307692307695,0.4153846153846154,"{""GC10-DET"": 15, ""NEU-DET"": 15}",46,GTFreeRandom,3,30
GTFreeRandom,35,72,2.057142857142857,2.0,0.6,8,2.4602941840724886,"{""crazing"": 7, ""crease"": 32, ""inclusion"": 9, ""patches"": 4, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""scratches"": 7, ""silk_spot"": 1}",0.12087464328342014,0.15508241884974877,0.1111111111111111,0.4722222222222222,0.4166666666666667,"{""GC10-DET"": 19, ""NEU-DET"": 16}",46,GTFreeRandom,4,35
